order,RegNo,order,genus database,species database,latitude,longitude,sex dissect,predicted sex/reason,confidence,svl,SVL2,tail length,tail length2,ratio,tail shape,midbody diameter,midbody diameter2,midtail diameter,midtail diameter2,head width,head width2,head depth,head depth2,ant nostril to ant eyes,ant nostril to ant eyes2,distance between eyes (closest),distance between eyes (closest)2,distance from forehead between eyes to snout,distance from forehead between eyes to snout2,lower lip to snout,lower lip to snout2,mouth width,mouth width2,tip of mouth to head depth,tip of mouth to head depth2,X-RAY?,Xray Done,precloacal_vert,postcloacal_vert,X-RAY skull length,Notes,sex database,jar note,database svl,remeasure?,tissue,age,age literature,plainNumber,photograph
28,j87547,28,Anilios,leucoproctus,-10.16694444,142.1333333,female,egg,yes,146.0,144.00,5.0,5.00,0.034,pointy,3.32,3.49,2.49,2.50,3.00,2.09,1.22,1.33,1.00,0.99,1.90,1.64,1.07,1.15,0.91,0.76,1.12,1.21,1.27,1.19,y,y,,,3.92,,,1,,,,,,,Yes
29,j2953,29,Anilios,broomi,-17.31666667,145.2166667,male,??tail,tail,185.0,187.00,4.5,4.50,0.024,pointy,2.93,2.97,2.35,2.24,2.14,2.23,1.26,1.34,1.07,1.16,1.72,1.80,1.64,1.66,0.90,0.97,1.20,1.25,1.08,1.15,y,y,,,3.92,,,1,,,,,,,Yes
30,j87805,30,Anilios,broomi,-15.76458533,145.2310995,male,tail?,tail,123.0,123.00,4.0,4.00,0.033,pointy,2.86,2.67,2.20,2.20,1.90,1.77,1.43,1.45,0.97,0.96,1.60,1.68,1.62,1.43,0.89,0.91,1.19,1.30,1.12,1.11,y,y,,,4.25,,,1,,,,,,,Yes
31,j88156,31,Anilios,broomi,-19.26374861,143.6986376,male,tail,tail,157.0,162.00,5.0,4.50,0.032,pointy,2.85,2.66,2.08,2.06,2.02,2.04,1.34,1.48,1.20,1.13,1.57,1.72,1.47,1.42,0.87,0.90,1.34,1.28,1.10,1.03,y,y,,,3.59,,,1,,,,,,,Yes
32,j2954,32,Anilios,broomi,-17.31666667,145.2166667,female,tail n eggs,yes,187.0,189.00,3.0,3.00,0.016,pointy,4.04,3.91,2.18,2.08,2.15,1.99,1.45,1.54,1.16,1.11,1.54,1.68,1.76,1.70,0.76,0.87,1.29,1.38,1.13,1.16,y,y,,,4.73,,,1,,,,,,,Yes
33,j47503,33,Anilios,broomi,-17.31666667,145.2166667,male,tail?,tail,115.0,114.00,3.0,3.00,0.026,pointy,2.44,2.56,2.11,2.17,1.75,1.85,1.54,1.60,1.11,0.95,1.37,1.40,1.46,1.39,0.91,0.79,1.39,1.40,1.03,1.01,y,y,,,3.71,,,1,,,,,,,Yes
34,j85788,34,Anilios,broomi,-19.99845101,148.2344074,female,tail,tail,210.0,209.00,4.0,4.00,0.019,pointy,3.66,3.62,2.63,2.51,2.09,2.22,1.60,1.54,1.09,1.33,1.76,1.80,1.85,1.90,0.79,0.79,1.33,1.31,1.18,1.27,y,y,,,4.39,,,1,,,,,,,Yes
35,j90500,35,Anilios,broomi,-17.14055556,144.525,male,tail,tail,136.0,138.00,4.0,4.00,0.029,pointy,2.73,2.64,2.30,2.48,1.99,2.04,1.42,1.44,1.05,1.17,1.59,1.61,1.27,1.33,0.89,0.81,1.20,1.12,1.02,0.94,y,y,,,3.97,,,1,,,,,,,Yes
36,j67603,36,Anilios,broomi,-19.44166667,145.675,male,hemipenes,yes,209.0,211.00,5.0,5.00,0.024,pointy,3.81,3.86,2.63,2.80,2.40,2.36,1.85,1.84,1.09,1.25,2.14,2.08,1.78,1.74,1.01,1.08,1.26,1.21,1.38,1.32,y,y,,,4.39,,,1,,,,,,,Yes
37,j90499,37,Anilios,broomi,-17.14055556,144.525,male,hemipenes,yes,191.0,190.00,5.0,5.00,0.026,pointy,2.83,2.84,1.87,1.86,2.15,2.18,1.31,1.24,1.14,1.10,1.78,1.76,1.58,1.69,0.93,1.04,1.06,1.14,1.10,1.07,y,y,,,4.50,,,1,,,,,,,Yes
