 ,Label,Area,Mean,Min,Max,Angle,Length
110,ani_lig_R00050.dcm,0.102,5503.665,2726.732,7648.243,-22.380,2.065
111,ani_lig_R00050.dcm,0.097,4461.841,2884.397,6159.848,-16.390,1.991
112,ani_lig_R00050.dcm,0.111,4305.088,3739.836,4841.061,-11.389,2.276
113,ani_lig_R00050.dcm,0.095,4917.653,3813.000,5668.000,-6.183,1.937
114,ani_lig_R00050.dcm,0.100,4572.297,3444.285,5206.448,3.662,2.010
115,ani_lig_R00050.dcm,0.090,4293.410,3313.865,5393.535,5.013,1.837
116,ani_lig_R00050.dcm,0.097,4911.509,4016.417,5542.976,13.586,1.981
117,ani_lig_R00050.dcm,0.097,4484.775,2794.007,5525.126,21.203,1.997
118,ani_lig_R00050.dcm,0.102,4178.565,3437.539,4740.203,30.964,2.059
119,ani_lig_R00050.dcm,0.107,4573.292,3254.785,5497.918,36.617,2.180
120,ani_lig_R00050.dcm,0.104,4289.051,2890.122,5411.692,46.232,2.111
121,ani_lig_R00050.dcm,0.090,3905.518,2997.500,4696.487,48.240,1.807
122,ani_lig_R00050.dcm,0.102,4880.010,4181.348,5528.759,53.578,2.054
123,ani_lig_R00050.dcm,0.090,5230.833,4113.306,6084.746,56.725,1.843
124,ani_lig_R00050.dcm,0.095,4468.015,3655.500,5219.075,59.778,1.913
125,ani_lig_R00050.dcm,0.093,4852.528,3737.417,6029.965,73.113,1.879
126,ani_lig_R00050.dcm,0.097,4670.770,3683.407,5285.791,78.690,1.964
127,ani_lig_R00050.dcm,0.093,5263.484,3711.167,6532.980,86.605,1.897
128,ani_lig_R00050.dcm,0.090,5567.792,3794.083,7229.134,87.973,1.815
129,ani_lig_R00050.dcm,0.090,5664.494,4217.583,6899.880,96.621,1.810
130,ani_lig_R00050.dcm,0.083,6220.587,4272.464,8410.643,98.130,1.702
131,ani_lig_R00050.dcm,0.090,3805.923,2857.353,4679.687,104.158,1.837
132,ani_lig_R00050.dcm,0.081,5376.020,2999.250,7031.775,112.834,1.654
133,ani_lig_R00050.dcm,0.088,5068.801,2602.037,6780.031,117.031,1.766
134,ani_lig_R00050.dcm,0.086,4479.717,2714.660,6107.800,123.541,1.714
135,ani_lig_R00050.dcm,0.088,4289.695,2863.859,5506.275,128.333,1.760
136,ani_lig_R00050.dcm,0.090,5100.100,2910.132,6546.558,133.933,1.827
137,ani_lig_R00050.dcm,0.083,4142.344,3093.056,4799.595,139.574,1.708
138,ani_lig_R00050.dcm,0.081,4879.704,2992.417,6731.741,146.929,1.647
139,ani_lig_R00050.dcm,0.077,4026.708,3129.000,4732.254,152.379,1.558
140,ani_lig_R00050.dcm,0.081,3937.871,2571.389,4656.672,165.285,1.643
141,ani_lig_R00050.dcm,0.083,3702.673,2417.882,6163.249,172.333,1.684
142,ani_lig_R00050.dcm,0.090,6421.603,4696.275,8377.667,172.372,1.814
143,ani_lig_R00050.dcm,0.077,6150.108,4827.104,7507.917,177.614,1.542
144,ani_lig_R00050.dcm,0.081,5725.181,4529.111,6653.569,177.754,1.638
145,ani_lig_R00050.dcm,0.063,4822.401,4349.574,5718.252,-178.550,1.268
146,ani_lig_R00050.dcm,0.060,4557.251,3565.000,5422.833,-169.287,1.209
147,ani_lig_R00050.dcm,0.070,4922.107,3973.138,5668.615,-160.301,1.381
148,ani_lig_R00050.dcm,0.067,4803.520,3981.946,5652.959,-152.819,1.335
149,ani_lig_R00050.dcm,0.060,4435.925,3716.660,5039.001,-152.745,1.192
150,ani_lig_R00050.dcm,0.060,4662.327,3978.586,5689.834,-149.689,1.208
151,ani_lig_R00050.dcm,0.049,4784.628,3962.902,5466.480,-164.578,0.966
152,ani_lig_R00050.dcm,0.053,4708.352,4077.126,5336.632,-164.291,1.067
153,ani_lig_R00050.dcm,0.049,4930.816,4254.698,5583.444,-156.930,0.942
154,ani_lig_R00050.dcm,0.044,5100.508,4630.194,5381.903,-152.049,0.890
155,ani_lig_R00050.dcm,0.042,5152.310,4780.882,5567.368,-151.477,0.840
