"","species","mean_PC1","mean_PC2","c_size","svl","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl","body_PC1","body_PC2","body_PC3","log_svl","log_tl","fil_PC1","fil_PC2","fil_PC3","mean_bulk","max_bulk","mean_sand_per","mean_silt_per","mean_clay_per","temp_mean","temp_max","BIO5","BIO6","BIO13","BIO14","ARID","sum","mean_svl","mean_width","max_svl","max_width","mean_bulk_cat","arid_category","biome_binary","biome","arid_cat"
"Anilios_yirrikalae","Anilios_yirrikalae",0.0205356608903205,0.0792367146453641,0.828111276133612,197.3,-3.89525403050035,-4.22592420299885,-4.15869662700116,-4.68759182596035,-4.40844950491493,-3.86020804210052,1.03213429448696,0.865464570341959,-0.520393993716133,5.24020306043316,1.37999501833264,-1.56093859599813,-0.752014273482518,0.434421123612487,1.41400750194277,1.47990643978119,73.7069936479841,9.96018879754203,15.6609480040414,27.0955356870379,27.6208324432373,36.4785720280239,15.6214286259242,259.214285714286,2.42857142857143,0.4875,99.3281304495675,197.3,3.944,315,5.455,"Hard","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_proximus","Anilios_proximus",0.0146280347032419,-0.0300097022148072,0.81684915696039,357.857142857143,-3.48226743677062,-3.90115817055093,-3.95205854777746,-4.58064224585863,-4.28409471609694,-3.9218899495308,2.85753744207811,0.932720736174497,0.258844999065622,5.86057464111247,2.01506621604509,-3.03707970509438,-1.3230058518531,-0.357883907229659,1.31052605967437,1.44765031337738,56.717344045639,15.0079214509044,22.8199288525752,17.260623141452,22.0541667938232,30.0558557854042,4.66171172368634,111.391891891892,32.509009009009,0.453295089285714,94.5451943491186,322.7,9.9775,481,16.69,"Medium","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_hamatus","Anilios_hamatus",0.086424912947414,0.00194944203366787,0.828521399506326,271.076923076923,-3.85376950003226,-4.06591900588916,-4.20513383332311,-4.87537750551817,-4.58024115049637,-3.74508468721063,0.962210209490972,-0.237125659129677,0.191037615341643,5.59231884976775,1.92014893910323,-1.36750886809001,-0.166304677317445,-0.386886969422657,1.47713635390318,1.68889403343201,81.5368239245837,3.71950846910477,12.7582671702663,21.8782436998585,27.2250003814697,37.2886076939257,7.17341772815849,53.6898734177215,5.43037974683544,0.102746202531646,98.0145995639548,271.076923076923,5.75538461538462,360,7.24,"Hard","Arid","arid","arid","Arid"
"Anilios_endoterus","Anilios_endoterus",0.107151130072303,-0.0408090606199226,0.828262628593544,289,-4.04713703359253,-4.36858055227051,-4.30753842515488,-5.01805255501041,-4.63480029701226,-3.92164390865097,-0.253926919589226,0.221701599760444,-0.15669783558046,5.66079572189515,1.79649678378511,-0.148575209633896,-0.369063009545912,-0.0439873026105679,1.47216382636843,1.58186817169189,79.7339870941017,6.61011650099009,12.5492176557604,21.8065165659828,27.5708332061768,37.278672964087,5.83222747527028,43.3080568720379,7.39336492890995,0.0823554502369668,98.8933212508523,266.202380952381,4.69285714285714,352.5,7.5,"Hard","Arid","arid","arid","Arid"
"Anilios_pilbarensis","Anilios_pilbarensis",-0.00670679969536883,0.091954795185262,0.831186002038737,316.333333333333,-3.85157673206543,-4.08009025288517,-4.30558674574421,-5.03606797703184,-4.70854905375502,-3.66615873893415,0.470395175371925,-0.665136098110586,0.60264134709394,5.75447436636712,2.22384968326266,-0.885294985840249,0.307337676890172,-0.787870460150645,1.49342725997747,1.61571156978607,81.3309542633766,3.90822420286578,13.1225320128507,26.3562984910122,27.6208324432373,39.769767317661,11.2465116145999,88.8139534883721,1.34883720930233,0.111639534883721,98.3617104790932,277.5,5.91642857142857,350,8.14,"Hard","Arid","arid","arid","Arid"
"Anilios_australis","Anilios_australis",0.0105890157287338,0.0376528075846721,0.826577536054954,245.25,-3.7605312133279,-3.98441286441436,-4.07053797830161,-4.72402794652166,-4.39399180956633,-3.56366758480073,1.91301562389625,-0.262688506955125,-0.0790069522817322,5.48318553245594,1.99122100927104,-2.41390412114022,0.0456324239412995,-0.0651974587841611,1.40987324610548,1.53519153594971,85.4054592832207,2.55965539842323,8.89182913043093,17.448951489555,22.2583332061768,30.8190371431981,7.14113785244965,117.297592997812,11.5317286652079,0.314662445414847,96.8569438120749,211.5,4.888125,322,7.8,"Medium","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_waitii","Anilios_waitii",0.117062868791747,0.00518500377802879,0.840510357602903,335.454545454545,-4.3805511887274,-4.75637717601548,-4.81626431013318,-5.34670634190725,-5.14592667145222,-4.29563715900838,-3.05536767736522,0.0217187779997919,0.237513619999253,5.80935063076607,1.52479939631889,2.98561092936707,-0.628544442200929,-0.326269407936994,1.45152524939503,1.5732262134552,81.9716272009424,3.29438173663185,11.691312952214,19.3831575692418,25.6833324432373,34.8084336476154,6.37409638496767,70.9277108433735,8.42168674698795,0.168271084337349,96.9573218897883,335.454545454545,4.22272727272727,415,5.39,"Hard","Arid","arid","arid","Arid"
"Anilios_centralis","Anilios_centralis",0.113821976648565,-0.0388325131353236,0.828615097985608,271.04,-4.08790207020388,-4.40127546365986,-4.50227088656362,-5.04057254354074,-4.7882764483674,-3.96406690413707,-0.55318764907013,0.194749475921965,-0.02818123238508,5.59049421848555,1.65774413082832,0.493376777606999,-0.359495758341892,-0.174195544950712,1.48946868947574,1.56929540634155,77.0657220567976,5.80231315749032,12.420601265771,21.3638392175947,23.1083335876465,36.467857497079,4.80357142005648,45.9642857142857,8.35714285714286,0.100203571428571,95.2886364800589,271.04,4.6496,330.5,6.805,"Hard","Arid","arid","arid","Arid"
"Anilios_bicolor","Anilios_bicolor",0.0328867882346279,-0.0236790998315428,0.830082826431902,308.833333333333,-3.55567117161403,-3.98120541656611,-3.84955776041906,-4.47488580820295,-4.15760302676666,-3.55773533862388,3.08299489987724,0.417648601247193,-0.463298951745674,5.71396728818766,2.26637956268873,-3.64998692825852,-0.424469204212619,0.411164751752823,1.4032869384839,1.51406097412109,74.7338956686167,6.2086295577196,14.1400651656664,17.5228365751413,20.5874996185303,31.9749998679528,5.01730768955671,36.5192307692308,13.6923076923077,0.132746153846154,95.0825903920027,308.833333333333,9.11083333333333,395,15.16,"Medium","Arid","arid","arid","Arid"
"Anilios_pinguis","Anilios_pinguis",-0.0140321115701321,-0.0463852430224778,0.821635830538027,341.15,-3.32510973684246,-3.71504394158417,-3.78354706243391,-4.46404285451779,-4.10465357852939,-3.40053497347798,4.01355949611535,0.247179037010926,0.149847063114287,5.79173983406247,2.3759920385782,-4.60907703837725,-0.133482701900017,-0.206460315208652,1.40409369340965,1.4836345911026,84.1590663364955,2.49373091437987,9.75525672946658,16.9568452153887,24.3833332061768,30.9571428980146,6.54821429082326,121.803571428571,11.5357142857143,0.32765,96.408053980342,313.75,11.4703571428571,497,17.815,"Medium","Semi-Arid","nonarid","nonarid","Semi-Arid"
"Anilios_leptosoma","Anilios_leptosoma",0.144229765112798,0.0358203384200691,0.835030062003413,267.666666666667,-4.49782932829927,-4.72298506586161,-4.88288161456165,-5.32907886897732,-5.15929093695673,-3.92384184261938,-3.06698416239452,-0.982283038544225,-0.111117083182432,5.58724994156476,1.79290957082383,2.81564132032839,0.475455511817687,-0.0266574442553751,1.46510823816061,1.53800094127655,86.6802287101746,2.35500918328762,9.02269685268402,21.4005209207535,23.470832824707,36.4624998569489,8.39374995231628,60.8125,4,0.12414375,98.0579347461462,241.25,2.75083333333333,366,4.93,"Hard","Arid","arid","arid","Arid"
"Anilios_systenos","Anilios_systenos",0.14136313650738,0.0379432136070517,0.831533409132734,211.666666666667,-4.50144499057809,-4.6979074693315,-4.83127731624472,-5.35779049853051,-5.10598736980056,-3.8877303128591,-2.76699835086981,-1.57173232797643,-0.189025843751342,5.32913675565542,1.97959476309302,2.64910743573984,0.582635282409329,-0.0474067942046146,1.46749591827393,1.48902535438538,89.1404418945312,1.66706991195679,7.06286787986755,20.1749992370605,20.3083324432373,33.4000015258789,9.30000019073486,96.5,5,0.19865,97.8703796863556,218,2.42142857142857,256,3.01,"Hard","Arid","nonarid","nonarid","Arid"
"Anilios_obtusifrons","Anilios_obtusifrons",0.133943004473251,0.0206266174595135,0.827112307666662,202.666666666667,-4.56084695609192,-4.80356671605242,-4.73980499822236,-5.25881637280987,-4.99402319411898,-3.54438810947929,-2.68316730179547,-0.968550595535965,-0.722252402227655,5.31049389832863,1.76610578884935,2.11767447580427,1.43339875266687,0.707178422743466,1.44646346569061,1.45859813690186,92.061398824056,1.18590631087621,5.25664758682251,20.8111108144124,21.158332824707,33.966667175293,9.56666660308838,88.3333333333333,3,0.163666666666667,98.5039527217547,202.666666666667,2.13333333333333,216,2.44,"Hard","Arid","nonarid","nonarid","Arid"
"Anilios_grypusW","Anilios_grypusW",0.131301750028512,-0.0515397611497176,0.841369508089556,309.442307692308,-4.4392545504808,-4.79725431409899,-4.92212119447346,-5.45952805256935,-5.27734657349416,-3.9530101811944,-3.59993810273295,-0.705656117378174,0.289904279233393,5.71798655850347,1.7930410405341,3.27153742976985,0.576378233365798,-0.372642857230599,1.50089470392618,1.8441253900528,80.9041287022778,4.26179645025832,13.3048022720549,25.4206903318479,28.095832824707,39.155794004514,10.4484978540773,81.0085836909871,1.91416309012876,0.108381623931624,98.470727424591,309.442307692308,3.73076923076923,388,5.46,"Hard","Arid","arid","nonarid","Arid"
"Anilios_longissimus","Anilios_longissimus",0.025881277523084,0.0192285055277342,0.811070984821206,266,-5.11976229254956,-5.14524137785054,-5.18472018882433,-5.68885682443953,-5.42649255997203,-4.19720194766181,-6.0229031153485,-0.339670557009205,-0.625076074093332,5.5834963087817,1.38629436111989,5.67392365211844,0.533807770371955,0.395667822189215,1.4745020866394,1.48075568675995,78.4323120117188,9.06984901428223,13.022599697113,25.7791662216187,25.8833332061768,34.75,16.25,60.5,1,0.11345,100.524760723114,266,1.59,266,1.59,"Hard","Arid","arid","arid","Arid"
"Anilios_silvia","Anilios_silvia",-0.0651940304671776,-0.0478957688871295,0.819440405818646,137.735294117647,-3.84902282181292,-4.09837357735434,-4.03386142602098,-4.66582793312171,-4.37678057452207,-3.39743184122574,1.79528028150794,-0.130318628024709,-0.519320821678494,4.90241115371323,1.50497931248749,-2.46877922216265,0.491707360002743,0.477398638073401,1.1783100091494,1.30967092514038,64.2988689129169,11.6223643743075,13.8645315537086,20.624358690702,21.4249992370605,28.8076920142541,10.5769230769231,217.153846153846,43.7692307692308,0.850223076923077,89.785764840933,137.735294117647,2.94117647058824,174,3.9,"Soft","Humid","nonarid","nonarid","Humid"
"Anilios_leucoproctus","Anilios_leucoproctus",-0.0642809520003952,-0.0606999787176591,0.816520032657731,144.888888888889,-3.93621687614563,-4.29461813868498,-4.24012134547281,-4.8887484585605,-4.61521172272916,-3.43381591493249,0.595696990795174,-0.408505584242365,-0.102653169109213,4.94545919567122,1.51164328073874,-1.14361064656344,0.816442648227726,0.210902834772339,1.26542548338572,1.31118071079254,55.7655817667643,10.4136838912964,28.4597406387329,26.4631945292155,27.1791667938232,31.7666673660278,21.3333336512248,391.333333333333,7.66666666666667,0.96415,94.6390062967936,145.2,2.8785,218,4.315,"Soft","Humid","nonarid","nonarid","Humid"
