"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl"
"R162129","Anilios","ganei",-22.789,116.571,"point","m","WAM","162129","WAM_R162129",0.023,256,6,-3.66114269914234,-4.2559447962028,-4.04778903585408,-4.79848949699159,-4.5593606499568,-3.75341797525151
"R164440","Anilios","ganei",-23.33,119.86,"point","m","WAM","164440","WAM_R164440",0.03,236,7,-3.77005274415776,-4.35197428960748,-4.11316462154887,-4.83789337415911,-4.52773844585528,-3.5179216559703
"R165000","Anilios","ganei",-22.135,119.024,"point","m","WAM","165000","WAM_R165000",0.028,144,4,-3.55396013621457,-4.22787595484662,-3.77892573479872,-4.66970870712566,-4.31748811353631,-3.58351893845611
"R156328","Anilios","ganei",-22.23,118.98,"point","m","WAM","156328","WAM_R156328",0.02,220,5,-3.78619163658893,-4.16398699527785,-4.08529472670218,-4.7623557695105,-4.50986000618377,-3.78418963391826
"R170702","Anilios","ganei",-21.952,116.488,"point","f","WAM","170702","WAM_R170702",0.021,239,5,-3.64869364518042,-4.17627188986503,-4.16273988364646,-4.88313670665378,-4.59683680442895,-3.86702563949741
"R170252","Anilios","ganei",-23.28,118.1,"point","m","WAM","170252","WAM_R170252",0.03,267,7,-3.7626993663492,-4.46557109680114,-4.13797949811897,-4.86454267559876,-4.60143186387748,-3.64133850934494
"R172319","Anilios","ganei",-22.287,117.96,"point","f","WAM","172319","WAM_R172319",0.016,450,7,-3.86323284125871,-4.47804817854875,-4.47804817854875,-5.04109450158096,-4.61634348658622,-4.16333743370905
"R170062","Anilios","ganei",-21.06,118.91,"point","m","WAM","170062","WAM_R170062",0.02,252,6,-4.00337278401637,-4.35077409116978,-4.18135593921173,-4.83129436544044,-4.46817258538708,-3.73766961828337
"R26839","Anilios","yampiensis",-16.15,123.75,"point","","WAM","26839","WAM_R26839",0.016,129,2,-4.19712443128644,-4.66096154561651,-4.38980877511594,-5.01063529409626,-4.75545238903743,-4.16666522380173
"R51043","Anilios","troglodytes",-17.62,125.23,"point","f","WAM","51043","WAM_R51043",0.01,387,5,-4.43891148812367,-5.01451879412265,-4.66919204475302,-5.5868611365973,-5.34323905393955,-4.34898678059568
"R119900","Anilios","pinguis",-22.017,113.933,"point","f","WAM","119900","WAM_R119900",0.028,497,14,-3.85436169995074,-4.29019790593521,-4.10323710263229,-4.74302248408223,-4.49659552533744,-3.56953269648137
"R90864","Anilios","pilbarensis",-21.61,118.96,"point","m","WAM","90864","WAM_R90864",0.04,235,10,-3.75848041318423,-4.00097049144464,-4.19828764319895,-4.87736989429149,-4.43713458644161,-3.15700042115011
"R1341","Anilios","micromma",-17.867,125.433,"point","","WAM","1341","WAM_R1341",0.025,198,5,-4.29872583708079,-4.70605141084187,-4.58023123764084,-5.08941617194937,-4.78749174278205,-3.67882911826043
"R15710","Anilios","margaretae",-27.42,124.3,"point","","WAM","15710","WAM_R15710",0.01,297,4,-4.70048036579242,-5.02078766556027,-4.82663165111932,-5.31529570308245,-5.16310388774053,-4.30743777768281
