"species","svl","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl","PC1","PC2","PC3","log_svl","log_tl","fil_PC1","fil_PC2","fil_PC3"
"Anilios chamodracaena",180.416666666667,-4.18558885071971,-4.43582757075619,-4.49390937701331,-5.00139605529338,-4.7741383344801,-4.08706146522047,-1.12875669602151,0.769061942215319,-0.190031370724408,5.18901229136378,1.10195082614331,0.687351329750188,-0.721467703069711,0.053442531345751
"Anilios diversus",201.5,-4.17766109302851,-4.675746800879,-4.45799003915419,-5.18147471462651,-4.89523371887766,-4.00516278132076,-1.40041257669691,-0.171083924177408,-0.0209400251444273,5.29654419909013,1.33597713346427,1.29105310115416,-0.217007483311814,0.0298766969878235
"Anilios endoterus",289,-4.04713703359253,-4.36858055227051,-4.30753842515488,-5.01805255501041,-4.63480029701226,-3.92164390865097,-0.253926919589226,0.221701599760444,-0.15669783558046,5.66079572189515,1.79649678378511,-0.148575209633896,-0.369063009545912,-0.0439873026105679
"Anilios erycinus",340,-3.68067788500052,-4.26869794936688,-3.94339226909579,-4.44265125649032,-4.22854844982826,-3.52636052461616,2.34752455157542,0.550780304660644,-0.990340974550446,5.82894561761021,2.30258509299405,-2.96626599869562,-0.252055493242088,1.07919506099446
"Anilios fossor",242,-3.93079310811014,-4.3320565293646,-4.61764436021327,-5.08681151931404,-4.86567667306091,-3.87949981372259,-0.965633780123927,0.24374763012925,0.662368119941545,5.48893772615669,1.6094379124341,0.461230128215805,-0.0878762375104849,-0.655192659778516
"Anilios ganei",301.2,-3.75636993978749,-4.32049962033167,-4.19873026142031,-4.97748821365108,-4.54115129126485,-3.86391271867925,0.792368202340652,0.455353595943247,-0.0266889708182823,5.67523397308608,1.82204314350112,-0.952845311212393,-0.420905422223704,-0.312348293101324
"Anilios grypusET",264.25,-4.58021185825484,-4.94885792508525,-4.75137015462858,-5.3892769523357,-5.08387053318937,-4.07344294707081,-3.56527789555805,0.151572583844298,-0.511933178392939,5.5713090838478,1.497866136777,3.15817599147014,0.122882626112363,0.374228687645851
"Anilios grypusW",309.442307692308,-4.4392545504808,-4.79725431409899,-4.92212119447346,-5.45952805256935,-5.27734657349416,-3.9530101811944,-3.59993810273295,-0.705656117378174,0.289904279233393,5.71798655850347,1.7930410405341,3.27153742976985,0.576378233365798,-0.372642857230599
"Anilios guentheri",224.884615384615,-4.37647707258559,-4.73231869025873,-4.68959313068163,-5.34792177059515,-5.10071748473667,-4.12828185471848,-2.91170475539825,0.195314028871859,0.0620995609723738,5.3977062853064,1.25045759566135,2.55686504250925,-0.185124151406335,-0.227179158062333
"Anilios hamatus",271.076923076923,-3.85376950003226,-4.06591900588916,-4.20513383332311,-4.87537750551817,-4.58024115049637,-3.74508468721063,0.962210209490972,-0.237125659129677,0.191037615341643,5.59231884976775,1.92014893910323,-1.36750886809001,-0.166304677317445,-0.386886969422657
"Anilios howi",210.75,-4.46995714244794,-4.65045661093889,-4.68757432068177,-5.33933699936733,-5.03998556966345,-4.07290146763211,-2.4987802423055,-0.106487616513143,0.211942948334015,5.33814890067728,1.41574012003399,2.40994943210624,-0.0317491437105398,-0.139538352837807
"Anilios insperatus",93.7,-3.55989413162657,-3.86460594392315,-3.90882641240252,-4.35777663245042,-4.0669744326624,-3.47538745225195,3.41834115787076,0.543052437380102,-0.55149529714295,4.54009818924438,1.06471073699243,-4.08689544350173,-0.359929570633042,0.564049790462416
"Anilios kimberleyensis",244.583333333333,-3.8934053995369,-4.50972070053349,-4.2533991418133,-5.00568068077591,-4.77484747174586,-3.93614268123512,-0.365269823943857,0.388966289154121,0.0261760331408566,5.47568276992656,1.67050458297373,-0.0312273400296561,-0.422098763844029,-0.10955944653493
"Anilios leptosoma",267.666666666667,-4.49782932829927,-4.72298506586161,-4.88288161456165,-5.32907886897732,-5.15929093695673,-3.92384184261938,-3.06698416239452,-0.982283038544225,-0.111117083182432,5.58724994156476,1.79290957082383,2.81564132032839,0.475455511817687,-0.0266574442553751
"Anilios leucoproctus",144.888888888889,-3.93621687614563,-4.29461813868498,-4.24012134547281,-4.8887484585605,-4.61521172272916,-3.43381591493249,0.595696990795174,-0.408505584242365,-0.102653169109213,4.94545919567122,1.51164328073874,-1.14361064656344,0.816442648227726,0.210902834772339
"Anilios ligatus",221.166666666667,-3.45720819704717,-3.88065292589229,-3.88643401545958,-4.6216973684288,-4.29419311993339,-3.54211637721292,2.92849061686181,0.103269873882641,0.235715704252047,5.36720043825567,1.99116300498838,-3.4715540418021,-0.202754925060912,-0.318930058119232
"Anilios ligatusE",320.541666666667,-3.32327973327792,-3.75744744756454,-3.77424215162423,-4.54683347551141,-4.113952628011,-3.48746848395678,3.80616644006681,0.112864633027869,0.249039384118598,5.75823384294758,2.3076513286627,-4.35579914245421,-0.282944074864815,-0.353728136740512
"Anilios longissimus",266,-5.11976229254956,-5.14524137785054,-5.18472018882433,-5.68885682443953,-5.42649255997203,-4.19720194766181,-6.0229031153485,-0.339670557009205,-0.625076074093332,5.5834963087817,1.38629436111989,5.67392365211844,0.533807770371955,0.395667822189215
"Anilios margaretae",264.75,-4.54797210165244,-4.8854489835515,-4.79098654808998,-5.26354563945396,-5.04745862464559,-4.25903354363857,-3.38996395676702,0.661920395362936,-0.537522094412477,5.57340738664552,1.31437384300695,3.03707524020825,-0.581178010838843,0.40845194406422
"Anilios micromma",198,-4.29872583708079,-4.70605141084187,-4.58023123764084,-5.08941617194937,-4.78749174278205,-3.67882911826043,-1.59527205525337,-0.267316814597531,-0.66544908556159,5.28826703069454,1.6094379124341,1.0574051650758,0.638467645454506,0.670840986822495
"Anilios minimus",193,-4.30756502032355,-4.54629220930467,-4.55079915435213,-5.06061466757246,-4.91549370529944,-3.81313617475171,-1.58446067679303,-0.0329256789023861,-0.355736450931024,5.25832205369979,1.44518587894808,1.07829887950367,0.255329528913919,0.290401921398167
"Anilios nema",207.7,-4.36994010502509,-4.63711043327955,-4.59484099992385,-5.13090164849027,-4.93889841977267,-3.80636270945293,-1.96227102239025,-0.133303928496554,-0.431368744652582,5.30346103105908,1.49709832160615,1.45943148218474,0.403392334611614,0.364156255711306
"Anilios nigrescens",393,-3.94722834453605,-4.22047073362861,-4.23961873204051,-4.9254305157049,-4.57184087408403,-3.79170199293233,0.667028457331843,-0.26608842624004,0.0561662739149195,5.82708300506107,2.1425632974771,-0.89907652602454,-0.189654869780327,-0.115110254393071
