"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","midbody_diameter","midtail_diameter","head_width","head_depth","ant_nostril_to_ant_eyes","distance_between_eyes_closest","distance_from_forehead_between_eyes_to_snout","lower_lip_to_snout","mouth_width","tip_of_mouth_to_head_depth","headlength_xray","precloacal_vert","postcloacal_vert","confidence","total_length"
"R.16743","Anilios","ligatusE",-28.98,149,"pointy","m","AM","16743","AM_R.16743",0.05,220.5,10.5,9.215,5.925,5.65,4.445,2.93,4.065,3.385,1.66,2.955,2.605,9.153,139,17,"tail",231
"R.161717","Anilios","proximus",-30.36,150.911,"pointy","m","AM","161717","AM_R.161717",0.02,295,6.5,10.205,7.46,6.235,4.35,3.165,4.66,5.095,2.375,3.135,3.255,,,,"yes",301.5
"R.129327","Anilios","wiedii",-30.75,150.72,"pointy","m","AM","129327","AM_R.129327",0.04,184.5,7.25,3.11,2.5,2.35,1.915,1.33,1.735,1.765,0.875,1.32,1.4,4.571,198,18,"yes",191.75
"R.17863","Anilios","wiedii",-33.38,148.02,"pointy","m","AM","17863","AM_R.17863",0.04,177,6.5,3.71,2.835,2.425,1.96,1.33,1.835,1.59,1.005,1.27,1.445,4.481,205,15,"yes",183.5
"R.123430","Anilios","proximus",-33.05,148.28,"pointy","m","AM","123430","AM_R.123430",0.04,234.5,10,6.71,6.02,4.99,3.735,2.83,3.585,4.2,1.975,2.725,2.685,8.806,155,16,"yes",244.5
"R.15661","Anilios","wiedii",-31.43,149.6,"pointy","f","AM","15661","AM_R.15661",0.02,232.5,4.75,4.725,3.325,3.09,2.445,1.56,2.35,2.2,1.36,1.39,1.78,5.58,209,13,"yes",237.25
"R.175581","Anilios","wiedii",-31.43,143.88,"pointy","m","AM","175581","AM_R.175581",0.02,282,7,4.43,2.96,3.06,2.295,1.665,2,2.27,1.185,1.48,1.63,5.892,215,15,"yes",289
"R.71171","Anilios","wiedii",-31.35,150.65,"pointy","m","AM","71171","AM_R.71171",0.04,200,8,3.87,3.15,2.57,1.95,1.435,1.765,1.87,1.08,1.35,1.4,5.239,196,18,"yes",208
"R.130480","Anilios","wiedii",-29.72,152.93,"pointy","m","AM","130480","AM_R.130480",0.03,287,8,5.015,3.725,3.06,2.66,1.46,1.95,2.135,1.35,1.755,1.67,5.659,,,"yes",295
"R.127956","Anilios","troglodytes",-16.53,145.13,"pointy","u","AM","127956","AM_R.127956",0.02,204,5,3.62,3.07,2.95,2.67,1.405,2.3,1.605,1.445,1.705,1.645,7.676,190,13,,209
"R.40107","Anilios","wiedii",-32.05,150.87,"pointy","f","AM","40107","AM_R.40107",0.02,247,5,3.755,2.68,2.895,2.025,1.48,1.905,2.15,1.345,1.35,1.74,5.621,212,14,"yes",252
"R.32740","Anilios","wiedii",-31.65,148.45,"pointy","f","AM","32740","AM_R.32740",0.02,229,5,3.765,3.1,2.68,1.79,1.45,2.03,2.04,1.225,1.31,1.6,5.129,208,14,"yes",234
"R.8515","Anilios","troglodytes",-23.37,150.53,"pointy","f","AM","8515","AM_R.8515",0.02,211.25,5,3.925,2.835,2.475,1.895,1.33,1.79,1.975,0.995,1.265,1.295,5.349,202,15,"yes",216.25
"R.40918","Anilios","minimus",-12,135.67,,,"AM","40918","AM_R.40918",0.02,173.5,4,3.12,2.185,,,,,,,,,,272,12,,177.5
"R.71301","Anilios","minimus",-13.97,136.45,"pointy","j","AM","71301","AM_R.71301",0.01,113,1.5,1.89,1.345,1.43,1.07,0.745,0.965,1.005,0.565,0.575,0.765,3.676,247,12,,114.5
"R.5333","Anilios","affinis",-25.37,151.12,"pointy","f","AM","5333","AM_R.5333",0.01,213,3,3.855,2.89,2.77,1.92,1.685,2.365,1.405,1.66,1.575,1.435,5.043,231,13,"yes",216
"R.135419","Anilios","affinis",-29.1,146.27,"pointy","f","AM","135419","AM_R.135419",0.02,266,5,4.405,3.095,2.71,1.99,1.43,2.18,2.655,1.275,1.515,1.575,4.857,232,13,"tail",271
"R.87755","Anilios","centralis",-23.7,133.82,"pointy","f","AM","87755","AM_R.87755",0.02,290,4.5,5.775,3.45,3.3,2.235,1.31,2.56,3.14,1.91,1.915,1.965,5.627,231,13,"tail",294.5
"R.6586","Anilios","wiedii",-33.47,144.98,"pointy","f","AM","6586","AM_R.6586",0.02,257.5,4,3.72,3.09,2.64,1.97,1.505,1.955,1.825,1.19,1.465,1.38,5.316,207,12,"yes",261.5
"R.128000","Anilios","troglodytes",-16.53,145.13,"pointy",,"AM","128000","AM_R.128000",0.04,199,8,4.285,2.87,2.92,1.91,1.525,2.175,1.815,0.83,1.595,1.31,6.252,,,,207
"R.145498","Anilios","wiedii",-33.38,148.02,"pointy","m","AM","145498","AM_R.145498",0.04,198,7,3.45,3,2.63,1.735,1.335,1.865,1.74,0.98,1.49,1.27,4.996,198,21,"tail",205
"R.142984","Anilios","affinis",-29.343,146.231,"pointy","m","AM","142984","AM_R.142984",0.03,248.5,7,3.575,3.1,2.585,1.84,1.515,1.89,2.515,1.205,1.575,1.51,5.096,224,13,"tail",255.5
"R.97853","Anilios","leucoproctus",-12.75,143.22,"pointy","f","AM","97853","AM_R.97853",0.03,116.5,3,2.615,1.505,1.93,1.24,1.11,1.515,1.27,0.785,0.77,1.03,3.735,206,11,"tail",119.5
"R.59060","Anilios","leucoproctus",-10.12,142.12,"pointy","m","AM","59060","AM_R.59060",0.03,93.5,3,2.145,1.845,1.555,1.295,0.815,1.18,1.115,0.905,0.9,0.915,3.809,201,13,"tail",96.5
"R.145499","Anilios","wiedii",-33.38,148.02,"pointy","f","AM","145499","AM_R.145499",0.02,268,5,4.025,3.335,2.92,2.025,1.42,2.225,2.015,1.155,1.495,1.575,5.844,211,13,"tail",273
"R.17041","Anilios","broomi",-16.97,145.53,"pointy","m","AM","17041","AM_R.17041",0.03,166,4.5,2.925,1.93,2.115,1.62,1.035,1.45,1.56,0.815,1.155,1.14,4.258,223,13,"tail",170.5
"R.178142","Anilios","centralis",-23.81,133.49,"pointy","f","AM","178142","AM_R.178142",0.03,228.5,6,3.785,3.46,3.18,2.21,1.835,2.22,2.76,1.415,1.53,1.72,5.726,216,17,"tail",234.5
"R.16759","Anilios","affinis",-28.98,149,"pointy","m","AM","16759","AM_R.16759",0.03,221,6,3.37,3.09,2.28,1.61,1.42,1.835,2.15,1.235,1.22,1.36,4.893,223,17,"yes",227
