"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl","PC1","PC2","PC3","log_svl","log_tail"
"R67495","Anilios","Anilios margaretae",-29.402,130.74,"taper to a point","u","SAM","67495","SAM_R67495",0.016,244,4,-4.6216994879393,-5.02093404629683,-4.85006498323466,-5.30654786568455,-5.11190582450256,-4.11087386417331,-3.77837682417115,0.229704462401785,-0.72450939063939,5.4971682252932,1.38629436111989
"R70458","Ramphotyphlops","Ramphotyphlops multilineatus",-6.91,144.96,"cone shape, taper to a point","m","SAM","70458","SAM_R70458",0.04,345,12,-4.23210850193459,-4.41084368309731,-4.39898114778749,-5.301220126206,-4.85029264402108,-3.35863776724336,-1.08579833478261,-1.13237912142797,0.0857053278807737,5.84354441703136,2.484906649788
"R918","Anilios","Anilios nigrescens",-37.08,149.9,"taper to a point, pointy spur","f","SAM","918","SAM_R918",0.026,502,13,-4.11568622182675,-4.25709787587658,-4.23072577153738,-5.10018520372744,-4.73020053563469,-3.65365076223019,-0.267923361607673,-0.168565706100516,0.034504110177289,6.21860011969173,2.56494935746154
"R919","Anilios","Anilios nigrescens",-37.08,149.9,"taper to a point, pointy spur","f","SAM","919","SAM_R919",0.02,484,9,-3.87650430474279,-4.23760435047091,-4.18738459349189,-5.01581396957471,-4.59899096962213,-3.98486032938041,0.183654517682198,0.85496208668206,0.275741028397086,6.18208490671663,2.19722457733622
"R31021","Anilios","Anilios nigrescens",-28.8,152.08,"taper to a point, pointy spur","f","SAM","31021","SAM_R31021",0.029,408,12,-3.87591800078603,-4.33791593622641,-4.11966237020639,-4.83261217806252,-4.50497002088957,-3.52636052461616,0.847770921938486,0.00899070986636691,-0.413817149781418,6.01126717440416,2.484906649788
"R34713","Anilios","Anilios nigrescens",-33.33,151.32,"taper to a point, pointy spur","f","SAM","34713","SAM_R34713",0.02,348,8,-3.8921076957272,-4.28567206835165,-4.51457329063587,-4.96020444046936,-4.70163045217565,-3.77276093809464,-0.24773392831266,0.210056876565367,0.333137669475156,5.85220247977447,2.07944154167984
"R39127","Anilios","Anilios nigrescens",-30.88,151.2,"taper to a point, pointy spur","f","SAM","39127","SAM_R39127",0.018,223,4,-3.78580528816074,-3.98406343721751,-4.11793912318336,-4.79198613236989,-4.46326587255299,-4.02087741034023,1.1885884712292,1.15986315672489,0.255108636439418,5.40717177146012,1.38629436111989
"R3932","Anilios","Anilios nigrescens",-33.95,151.13,"taper to a point, pointy spur","m","SAM","3932","SAM_R3932",0.04,282,12,-3.90495583820505,-4.11151236584447,-4.25311582961964,-4.87643922879854,-4.55671780260214,-3.15700042115011,1.02806322947071,-1.02866648674533,-0.0433023168350451,5.64190707093811,2.484906649788
"R31022","Anilios","Anilios nigrescens",-28.8,152.08,"taper to a point, pointy spur","m","SAM","31022","SAM_R31022",0.025,325,8,-3.99875470125248,-4.29768548624013,-4.19255124052331,-4.86753445045558,-4.49184150068109,-3.7043836406499,0.49976335303201,0.299866781602099,-0.44692450942797,5.78382518232974,2.07944154167984
"R31023","Anilios","Anilios nigrescens",-29.65,152.05,"taper to a point, pointy spur","m","SAM","31023","SAM_R31023",0.05,280,13,-3.91919149490676,-3.95210122899556,-4.18787062023292,-4.81942478988505,-4.54622765035464,-3.06984024570771,1.45252924171673,-1.20845762823598,-0.0107720308931392,5.63478960316925,2.56494935746154
"R31024","Anilios","Anilios nigrescens",-29.65,152.05,"taper to a point, pointy spur","m","SAM","31024","SAM_R31024",0.035,287,10,-3.93671561801852,-3.90334992417472,-4.2196470877117,-4.93193360848234,-4.58447979273065,-3.35689712276558,1.04329054328009,-0.668170617878113,0.339593576054196,5.65948221575962,2.30258509299405
"R67932","Anilios","Anilios nigrescens",-33.09,151.24,"taper to a point, pointy spur","m","SAM","67932","SAM_R67932",0.03,312,10,-4.04189808684956,-4.01134764265113,-4.30316805976156,-5.00583912183276,-4.42927951952443,-3.44041809481544,0.712142407620972,-0.509072104864865,0.0297165766988492,5.74300318780948,2.30258509299405
"R923","Anilios","Anilios pinguis",-33.68,117.55,"sharp pointy","f","SAM","923","SAM_R923",0.033,360,12,-3.31349180124305,-3.7390038412965,-3.74957352278619,-4.43449020420962,-4.08439423136893,-3.40119738166216,4.00040526026484,0.481399713645971,0.0949985845737732,5.88610403145016,2.484906649788
"R927","Anilios","Anilios torresianus",,,"taper to a point","m","SAM","927","SAM_R927",0.05,218,11,-3.82214875788884,-4.14612083174582,-4.06007610538729,-4.8363736542794,-4.51320169684567,-2.98659978999072,1.57331721714384,-1.24103517079907,-0.208954816898966,5.38449506278909,2.39789527279837
"R200","Anilios","Anilios proximus",-25.6,152.6,"taper to a point, pointy spur","f","SAM","200","SAM_R200",0.017,362,6,-3.85955636652941,-4.00913037932925,-4.08335544064651,-4.77978669640764,-4.42146836672518,-4.09988474259772,1.13539267146203,1.35365942144957,0.0252423924704406,5.89164421182577,1.79175946922805
"R916","Anilios","Anilios proximus",-32.8,149.97,"taper to a point, pointy spur","f","SAM","916","SAM_R916",0.02,383,7,-3.72341143765631,-4.04145984552401,-4.02671031559795,-4.77865362962433,-4.28410889146248,-4.00212484012533,1.58541196616106,1.29949681253359,0.021450738038172,5.94803498918065,1.94591014905531
"R922","Anilios","Anilios proximus",,,"taper to a point, pointy spur","f","SAM","922","SAM_R922",0.011,370,4,-3.5940607955778,-3.9633162998157,-3.95059528021439,-4.62427035736151,-4.14535340204935,-4.52720864451838,2.00522336302224,2.76164500852128,0.056821116647515,5.91350300563827,1.38629436111989
"R22713","Anilios","Anilios proximus",-25.32,148.83,"taper to a point, pointy spur","f","SAM","22713","SAM_R22713",0.02,404,9,-3.33349246794972,-3.70083178763778,-3.91947645608273,-4.63787750396388,-4.21299430999861,-3.80419030062493,3.05950914611789,1.13017053771314,0.77725801886355,6.00141487796115,2.19722457733622
"R47090","Anilios","Anilios silvia",-25.95,153.13,"taper to a point","u","SAM","47090","SAM_R47090",0.02,98,2,-3.73481654930096,-4.32260321420308,-3.93786423661203,-4.71280085018046,-4.29229786470775,-3.89182029811063,1.4983549527728,1.18387305401903,-0.567553853094369,4.58496747867057,0.693147180559945
"R47349","Anilios","Anilios silvia",-25.95,153.13,"taper to a point","u","SAM","47349","SAM_R47349",0.04,110,5,-4.12950081920668,-4.50986000618377,-4.00733318523247,-4.67092156355087,-4.55206036067414,-3.09104245335832,0.938978304506262,-0.962106785463045,-1.4959951414398,4.70048036579242,1.6094379124341
"R64769","Acutotyphlops","Acutotyphlops subocularis",-5.446,151.464,"taper to a point, pointy spur","u","SAM","64769","SAM_R64769",0.049,164,8,-3.87022587674968,-4.32513926027183,-3.92738429058963,-5.19417710729544,-4.3205415510232,-3.02042488614436,1.17826538890538,-1.21509187752867,-0.231971246680105,5.0998664278242,2.07944154167984
"R64770","Acutotyphlops","Acutotyphlops subocularis",-5.45,151.46,"taper to a point, pointy spur","u","SAM","64770","SAM_R64770",0.07,287,19,-3.6923698590537,-3.81260344731049,-4.21728022270143,-5.4524680463753,-4.61216322147906,-2.71504323659318,1.08046597843442,-2.38782956325361,1.61040659328365,5.65948221575962,2.94443897916644
"R1272C","Anilios","Anilios tovelli",-12.45,130.83,"taper to a point","f","SAM","1272C","SAM_R1272C",0.047,107,5,-3.70584498827223,-3.95987902660578,-4.08504216955979,-4.62403867029247,-4.16601123209345,-3.06339092202781,2.63683757165143,-0.75561455413832,-0.413249204966913,4.67282883446191,1.6094379124341
"R1272A","Anilios","Anilios tovelli",-12.45,130.83,"taper to a point","u","SAM","1272A","SAM_R1272A",0.05,109,5,-3.62663714523672,-3.96864189942765,-3.94941053749977,-4.54292787711087,-4.20276786741047,-3.08190996979504,2.96125693570306,-0.577542030414418,-0.451006383462489,4.69134788222914,1.6094379124341
"R54430","Anilios","Anilios unguirostris",-17.435,141.276,"taper to a point","m","SAM","54430","SAM_R54430",0.019,257,5,-4.13565305638708,-4.6367933744186,-4.39219488810313,-5.24897149244488,-4.78827025586146,-3.93963817246112,-1.46747300228504,0.385922622887986,-0.0603704068803307,5.54907608489522,1.6094379124341
"R904","Anilios","Anilios waitii",-32.12,116.93,"tapers to a point, small spur","f","SAM","904","SAM_R904",0.02,340,6,-4.1444002326893,-4.45270159234382,-4.61700464363509,-5.19767384076835,-5.00039380004406,-4.03718614838215,-1.82113084187765,0.391612491346023,0.472341282106588,5.82894561761021,1.79175946922805
"R75461","Anilios","Anilios unguirostris",-16.583,128.8,"pointy","f","WAM","75461","WAM_R75461",0.015,411,6,-4.08997456255098,-4.61004824444152,-4.6273113118653,-5.28142914851952,-4.82164502510726,-4.22683374526818,-1.97575869577979,0.929464329641789,0.355575686463917,6.01859321449623,1.79175946922805
"R70725","Anilios","Anilios unguirostris",-16.63,125.92,"pointy","f","WAM","70725","WAM_R70725",0.01,445,6,-4.06861111029265,-4.48663836706947,-4.64412127257253,-5.31417273833783,-5.07562335446369,-4.30631481293819,-2.25744976662062,0.941142275666459,0.912378308785102,6.09807428216624,1.79175946922805
"R117861","Anilios","Anilios unguirostris",-17.663,124.933,"pointy","m","WAM","117861","WAM_R117861",0.016,251,4,-4.28707870808852,-4.31948213214318,-4.42019610774501,-5.1067426042736,-4.74155139530337,-4.13915857801189,-1.15366315576859,0.789605472068314,-0.102418673537392,5.52545293913178,1.38629436111989
"R125664","Anilios","Anilios pinguis",-31.57,115.71,"pointy spur","m","WAM","125664","WAM_R125664",0.03,258,8,-3.3557350075854,-3.61854381529204,-3.63750864335101,-4.46439763210701,-4.05781081888964,-3.47351804324178,4.19312803583016,0.63970245111561,0.161132955816752,5.55295958492162,2.07944154167984
"R96220","Anilios","Anilios pinguis",-32.05,115.95,"pointy spur","m","WAM","96220","WAM_R96220",0.056,285,16,-3.21014214489945,-3.35391210867214,-3.59580462571143,-4.29665402663347,-3.95321056383476,-2.87990045802887,5.53477966565259,-0.549867936828952,0.23265982461281,5.65248918026865,2.77258872223978
"R82627","Anilios","Anilios pinguis",-31.98,115.97,"pointy spur","f","WAM","82627","WAM_R82627",0.05,363,19,-3.41618517262765,-3.64521851799792,-3.72534913389533,-4.42652848615254,-4.1486873035382,-2.94996385509841,4.25038889848524,-0.656721580175309,-0.0338292798033028,5.89440283426485,2.94443897916644
"R146959","Anilios","Anilios howi",-14.3,126.633,"taper point","f","WAM","146959","WAM_R146959",0.015,262,4,-4.68045324640864,-4.73543538082599,-4.89540003051867,-5.39439119663766,-5.28316556152743,-4.18205014264121,-3.95819912271928,0.133676902648663,-0.0680267317495236,5.5683445037611,1.38629436111989
"R146381","Anilios","Anilios howi",-14.3,126.63,"taper point","f","WAM","146381","WAM_R146381",0.02,171,3,-4.48414355358587,-4.64696731466655,-4.61693502756768,-5.26949692801254,-4.82685281666263,-4.04305126783455,-2.35358898223445,0.316172633633833,-0.467771471643496,5.14166355650266,1.09861228866811
"R141536","Anilios","Anilios howi",-14.3,126.633,"taper point","f","WAM","141536","WAM_R141536",0.018,217,4,-4.24527462734932,-4.56896713732413,-4.63796000881108,-5.38994768939396,-5.0947184113068,-3.99360299242057,-2.49565342775866,0.0908596999279103,0.541230079491819,5.37989735354046,1.38629436111989
"R23560","Anilios","Anilios tovelli",-12.35,130.87,"taper point","f","WAM","23560","WAM_R23560",0.03,128,4,-3.70780746399946,-4.17399672116972,-4.02785482095327,-4.76585256767856,-4.45325414396225,-3.46573590279973,1.58618566486539,0.0228927994759642,-0.116096317085205,4.85203026391962,1.38629436111989
"R163269","Anilios","Anilios margaretae",-28.688,125.848,"taper point","","WAM","163269","WAM_R163269",0.01,286,3,-4.39753082120985,-4.62995021498658,-4.66645061720611,-5.12536355975768,-4.89986983109852,-4.55737952215174,-2.52014247916584,1.58111901705197,-0.286931688387753,5.65599181081985,1.09861228866811
"R135344","Anilios","Anilios australis",-32.68,115.7,"taper point","m","WAM","135344","WAM_R135344",0.04,180,8,-3.61397814594082,-3.87923318260516,-4.05192384633815,-4.59412034980151,-4.3731770193969,-3.11351530921037,2.62787737724572,-0.680404888924529,0.0235297180059505,5.19295685089021,2.07944154167984
"R135343","Anilios","Anilios australis",-32.683,115.7,"taper point","f","WAM","135343","WAM_R135343",0.025,237,6,-3.64351084908409,-4.14098513967521,-4.11998699283544,-4.7356922474219,-4.43132325618511,-3.67630067190708,1.51602958032823,0.525640437225009,0.0803164400371267,5.46806014113513,1.79175946922805
"R140516","Anilios","Anilios australis",-30.61,115.25,"taper point","m","WAM","140516","WAM_R140516",0.05,148,7,-3.65173990716448,-3.91880269241353,-3.96759285658296,-4.71958053716584,-4.26484438005089,-3.0513021247088,2.64698381532989,-0.823082999158218,-0.072935766452639,4.99721227376411,1.94591014905531
"R141875","Anilios","Anilios australis",-33.648,115.416,"taper point","m","WAM","141875","WAM_R141875",0.042,168,7,-3.76298742626766,-3.81293210278392,-4.04555439805267,-4.56434819146784,-4.32196239393123,-3.17805383034795,2.60764862945075,-0.578849905019633,-0.239646034231494,5.12396397940326,1.94591014905531
"R136224","Anilios","Anilios australis",-33.09,117.7,"taper point","f","WAM","136224","WAM_R136224",0.03,220,7,-3.79222180561553,-3.9826405726421,-4.1043948980756,-4.72068307310994,-4.43427732501776,-3.44771739729705,1.72379137389826,-0.106221218710182,-0.0544358217745361,5.39362754635236,1.94591014905531
"R137473","Anilios","Anilios australis",-33.55,115.85,"taper point","f","WAM","137473","WAM_R137473",0.026,266,7,-3.91957021106353,-4.05526845177314,-4.14603366108741,-4.79503894841743,-4.52570601463384,-3.63758615972639,1.066196440151,0.175205790900144,-0.0948899843606958,5.5834963087817,1.94591014905531
"R134937","Anilios","Anilios australis",-31.4,116.15,"taper point","f","WAM","134937","WAM_R134937",0.03,265,7,-3.65256571975196,-4.15181379017551,-4.1328108430499,-4.78673731045656,-4.53592577381311,-3.63381967693091,1.2882140602028,0.33619974831484,0.237159905493764,5.57972982598622,1.94591014905531
"R134504","Anilios","Anilios australis",-32.693,119.34,"taper point","f","WAM","134504","WAM_R134504",0.034,268,9,-3.53686324681531,-3.89904784656501,-4.10938243958664,-4.94913309433846,-4.44358452767332,-3.39376240317464,1.81917233477989,-0.26816903202872,0.887800168808262,5.59098698051086,2.19722457733622
"R135248","Anilios","Anilios australis",-33.85,114.98,"taper point","f","WAM","135248","WAM_R135248",0.03,322,9,-4.29294700462019,-3.68639806326255,-4.07527292911052,-4.76659362514443,-4.41357499240881,-3.57732696820819,1.39968995201223,-0.147928736662167,-0.469469854998709,5.77455154554441,2.19722457733622
"R133502","Anilios","Anilios australis",-31.993,117.017,"taper point","f","WAM","133502","WAM_R133502",0.026,154,4,-3.67086094861126,-4.07377828464062,-4.02535169073515,-4.59226678115218,-4.31424661961214,-3.65065824129374,2.07691535059527,0.62373939451032,-0.290966738728477,5.03695260241363,1.38629436111989
"R146051","Anilios","Anilios troglodytes",-16.75,123.99,"taper point","f","WAM","146051","WAM_R146051",0.01,315,4,-4.01386239068739,-4.73012171112309,-4.61473963700424,-5.42326889168303,-5.17035701897297,-4.36627827770574,-2.78178046178554,1.06704101280355,0.945705937416476,5.75257263882563,1.38629436111989
"R146048","Anilios","Anilios troglodytes",-16.75,123.985,"taper point","m","WAM","146048","WAM_R146048",0.019,212,4,-3.95048928625594,-4.4645882353669,-4.37450780225985,-5.08655913745895,-4.91833134374086,-3.97029191355212,-0.959540073377757,0.556356556188489,0.379482892988849,5.35658627467201,1.38629436111989
"R172637","Anilios","Anilios troglodytes",-16.32,124.05,"taper point","f","WAM","172637","WAM_R172637",0.01,227,3,-4.2935479059903,-4.74185317277496,-4.5920408945463,-5.32963983767708,-4.99968228207706,-4.32633772881329,-2.71388980976438,0.983583171134118,0.0764614908958449,5.4249500174814,1.09861228866811
"R102560","Anilios","Anilios ammodytes",-23.096,116.01,"taper point","f","WAM","102560","WAM_R102560",0.019,211,4,-4.05987445182742,-4.5634007731118,-4.46396687612361,-5.27489709233994,-4.9463930253679,-3.96556377235618,-1.64594446865417,0.342147199852988,0.431802729688154,5.35185813347607,1.38629436111989
"R102550","Anilios","Anilios ammodytes",-23.08,115.79,"taper point","f","WAM","102550","WAM_R102550",0.02,211,4,-3.93116234563884,-4.52330631590992,-4.43957542299945,-5.04437343372811,-4.68402876090041,-3.96556377235618,-0.719216232630268,0.683687283004177,0.0570777134992995,5.35185813347607,1.38629436111989
"R108831","Anilios","Anilios ammodytes",-20.783,116.85,"taper point","f","WAM","108831","WAM_R108831",0.02,251,5,-3.99505823403814,-4.58935957996145,-4.42684065046367,-5.20336943996267,-4.84235609442534,-3.91601502669768,-1.27361860059302,0.379931098588365,0.253366737769816,5.52545293913178,1.6094379124341
"R124837","Anilios","Anilios ammodytes",-20.42,118.83,"taper point","m","WAM","124837","WAM_R124837",0.06,181,10,-3.87674119128351,-3.92593143547428,-4.38313221798163,-5.13083838279201,-4.67970323785066,-2.89591193827178,0.755686157624066,-1.94097927526087,0.814121945896905,5.19849703126583,2.30258509299405
"R110290","Anilios","Anilios ammodytes",-22.676,119.841,"taper point","m","WAM","110290","WAM_R110290",0.045,178,8,-3.99394012789603,-4.36641873700789,-4.39788200646368,-5.16198092299591,-4.85970005112297,-3.10234200861225,-0.378394440763277,-1.52915289074345,0.291350099866233,5.18178355029209,2.07944154167984
"R102496","Anilios","Anilios ammodytes",-23.38,115.88,"taper point","f","WAM","102496","WAM_R102496",0.02,235,4,-4.12986150451266,-4.82300868507261,-4.55132695396727,-5.2772639573502,-4.92309214362959,-4.07329115302427,-2.21560939961802,0.591703091892417,0.00373169142510538,5.45958551414416,1.38629436111989
"R111957","Anilios","Anilios ammodytes",-22.701,120.737,"taper point","f","WAM","111957","WAM_R111957",0.026,196,5,-4.03974042818725,-4.5750171478174,-4.5409505932538,-5.22932449506109,-4.9416424226093,-3.66867674679642,-1.46910478135363,-0.334376518967415,0.341647565536576,5.27811465923052,1.6094379124341
